SWP_No,Accused_or_Topic,Date,Legal_Proceeding,Trial_Text,word_count,char_count
SWP No. 173.87,Reversal of Attainder and Restitution (1710 - 1750),"July 3, 1718",Continuation,"(Continuation of The Committee to Consider Phillip English's Petition ) [July 3, 1718] On The Petition of Philip English , As Enter'd June 14. 1717 Ordered  that the Committee on this Petition be continued, And that they make Report to this Court at their Sessions in Autumn next. ( Mass. Acts and Resolves, Public and Private, of the Province of the Massachusetts Bay.  Boston, 1902, vol.9, Boston, MA p. 607.)",70,411
SWP No. 137.38,"John Willard Executed August 19, 1692","May 18, 1692",Testimony,"( Testimony of Abigail Williams v. John Willard ) [+ May 18, 1692] The Testimony of Abigail Williams witnesseth & saith that sundry times she hath seen & been almost killed by the Appartion of John Willard of Salem Village Husbandman on & before the 18. May. 1692 . Abegall Williams did deliver this testimony to us the Jurriars for Inqwist this 3'd of June: 1692. and did afarme to the truth of it (Reverse) Abig. Williams ags't John Willard (MS Am 1147.3 Dept. of Rare Books and Manuscripts, Boston Public Library, Boston, MA. )",95,530
SWP No. 173.65,Reversal of Attainder and Restitution (1710 - 1750),"January 22, 1712",Order for Restitution,"(Order of Mary and Abigail How for Restitution for Elizabeth How ) [January 22, 1712] Know all whom it doth or may consarn that we Mary and Abegill How both daughters of James How Juner of Ipswich Late deceast: being informed that the honred Generall Court hath aLowed som money for us in way of Restution for the damig we sustained in the yere 92 by that as was Called witch Craft, when our honoured mother was Executed We pray your honours to send us the money alowed us: by our Uncle Abraham How whom we have desiered and employed to Recave the same for us dated in Ipswich 22 of January or 12 as witnes our hands              mark Mary X How her her Abigill X How mark (Reverse) Mary & Abigal Hows order ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 156. Massachusetts State Archives, Boston, MA )",152,818
SWP No. 172.14,"Petitions to the General Court, with Responses (1696-1725)","July 1,1724",Resolve,"(Resolve Allowing £50 to Thos Rich ) [July 1,1724] A Petition of Thomas Rich of Salem Shewing that his Mother. Martha Carey (who with her Husband & his Father in Law Gyles Carey Suffered death in the time of the Witchcraft) had in her hands Sicty pounds of personall Estate, left by his Father, which She Carefully Kept for the petitioner & which was lost by her Suffering, and therefore praying this Court to make some allowance to him in Consideration thereof as they have done to others in the Like Circumstances. Read & [Accepted] Resolv'd that the Sum of Fifty pounds, be allowed & paid out of the publick Treasury, to the petitioner Thomas Rich in full Satisfaction for the Losses he might have Sustained, as at Large Sett forth. in his petition. [Passed July 1] Acts and Resolves, Public and Private, of the Province of Massachusetts Bay, vol. 10, 1720–1726, chap. 93 (Boston: Wright and Potter, 1902), p. 322.",161,917
SWP No. 173.42,Reversal of Attainder and Restitution (1710 - 1750),"September 13, 1710",Petition,"(Petition of Joseph Wilson -- Cases of Sarah Wilson, Sr. and Sarah Wilson, Jr. ) [* September 13, 1710] To the Honourable Committee. An Account of what was payd by Joseph Wilson of Andover for his wife Sarah and Daughter Sarah who Suffered Imprisonment at Salem, upon an Accusation of Witchcraft in the year 1692. the one was Imprisoned fifteen weeks the other Six weeks Viz money and Provisions expended while they were in Prison......2-10-0 it For Bail Bonds, to the Clerk..............................0-8-0 it To the Deputy Sheriffe for Court Charges..................1-17-4 p'r *Joseph willson I Desire Capt Jno Barker to give in this Account to the Honorable Committe (Reverse) Joseph Wilsons account Sarah Willson Sen'r [Sarah Willson Jun'r](/tag/wilson_sarah_jr.html Imprisoned not Condemned ( Mass. Archives Vol. 135, no. 145. Massachusetts State Archives. Boston, MA. )",133,878
SWP No. 22.13,"George Burroughs Executed, August 19, 1692","September 15, 1692",Deposition,"( Deposition of Thomas Greenslit v. George Burroughs , Second Version) [September 15, 1692] Province of the  Mattathusets Bay  in New EnglandThe deposition of Thomas Greinslitt aged about forty years Testfieth Essex Ss. That about the breaking Out of this last Indian Warr being at the house of Capt Scottow's at black point he Saw Mr George Burroughs lift and hold Out a gunn of Six foot barrell or thereabouts  putting the forefinger of his right hand into the Muzle of s'd gunn  and So held it Out at Armes End Only with that finger and further this deponent Testifieth that at the Same time he Saw the Said Burroughs take up a full barrell of Malasses w'th but two fingers  of one of his hands in the bung & Carry it from the Stage head to the Door at the End of the Stage Without letting it downe & that Liut Richard Hunniwell & John Greinslitt & Some other persons  that are Since dead Were then present. Salem Sep'r 15'th 1692 Thomas Greinslitt appeared before their  Maj'ties Justices of Oyer & Terminer in Open Court & Made Oath that the above mentioned perticulars & Every part of them were True attest *Step. Sewall Clr (Reverse) Thomas Green Evidence. Burr ( Witchcraft Papers, no. 10, Massachusetts Historical Society, Boston, MA. )",221,1245
SWP No. 173.17,Reversal of Attainder and Restitution (1710 - 1750),,Account,"(Account of Phillip English ) To the Honered Commitey A pointed by the Generall Court to Inquire in to the names proper to be Insarted in the Bill for Tacking of the Attander amd What damages thay sustaned by thare prosceution These Are to signify that I Phillip English Whas Imprisoned togather With My Whife in salem Prison and then Carred to Boston Prison, and thare Lay Nine Weeks from Whance Whe Made our Escape in Which time besides our Charge in flying had the Estate heare aftor Menechened Loast and Tacking a Whay In the Ware Hous att the Pint of Rocks To 20 hogsheds of Soatt 025: 00: 00 To 32-lt 2'-qts 17-lb. of Spanish Iorn bought of Capt John Brown 065: 06: 00 To 43 quantells of Rasedg Cod fish 025: 16: 00 To 2 hogsheds of Melases 015: 00: 00 To 12 New axes 002: 08: 06 In the Weare Hows behind Docktor Roundeys133: 10: 00 To 500 butchells of Vorginiy Whet 150: 00: 00 To 203 butchells of Engen Corn 027: 00: 00 To 3 pipes of Whine 027: 00: 00 In the Weare Hows in the Lane 137: 12: 6 To 2 Bootts of Suger 024: 00: 00 To 2 hogsheds of Suger 024: 00: 00 To 4 hoggheds of Melases 030: 00: 00 [torn] ght Iorn 100: 00: 00 [torn] key 036: 00: 00 [torn] 18-lt of New Cordeg 060: 00: 00 [torn] of Nialls 024: 00: 00 To I Chist of Glass 003: 00: 00 In the Weare Hows Next to Cartors on the Wharlf 683: 12: 6 To I hogshead of Rum 012: 00: 00 To 8 bundells of Twine 014: 00: 00 To 160 butchells of Whet 040: 00: 00 To 500 Whate of Rope 012: 10: 00 To 5 Ketch Ankours Whate 682 ls 017: 01: 00 To 2 Shollops Ankours Whate 64 lb 001: 12: 00 To 1 Bots Ankour Whate 20 lb 000: 10: 00 One the Wharlf 736: 05: 6 To 58 thousands of Bords or More 145: 00: 00 To 10 thousands of Staves 012: 10: 00 To 7 thousands of Slitwoork or more 014: 00: 00 Carried Ower to the Other Side 907: 15: 6 Brought over from the Other Side heare 907: 15: 6 To 2000 of Clabbords 005: 00: 00 To 28 thousands of Shingells 008: 00: 00 In My Dwelling Hous 920: 15: 6 In a pine Chist 6 peses of Canton qt 31 anns 005: 00: 00 To 5 duzen of Wosted Stockens 010: 10: 00 To 40 yards of Broad Cloth 025: 00: 00 To 3 gross of Thimbells 001: 10: 00 To 27 yards of Carsey 006: 05: 00 To 14 yards of Ticking 002: 02: 00 To 43 yards of hiy Brinns 006: 09: 00 In a Nother Chist 977: 11: 6 To 2 half peses of fine Dowlis 015: 00: 00 To 1 half pes of Buckrem 003: 00: 00 To 8 peses Kenton qt 40 anna 007: 10: 00 To 2 Duzen of fine Woosted Stockens 007: 04: 00 To 1 pess of Sarge 003: 10: 00 Luse In The Shop Chamber 1013: 15: 6 To 13\mh\ yards of Sarge 0002: 14: 00 To 11 yards of Broad Cloth 0001: 02: 00 To 1 duzen of Wimons Shews 0002: 08: 00 To 3 Ramnants of fine hollond qt 45\m?\ 0004: 18: 00 To 1 pess of Sant Johns qt 92 anns [torn] To 24 yards of New England Canvis [torn] To 31 yards of Bast Nialls [torn] To 35 yards of hambrow dowlis [torn] To 90 yards of Brinns is 9:£.6:s0 ... 0009: 00: 0 To 29 yards of Navalls 0004: 04: 0 To 74 yards of fagures 0007: 03: 0 To 20 li of Brown Thread 0003: 00: 0 To 2 Small Caske of Stell 0005: 00: 0 To 1 thousand Whate of frantch Lines at Lest 0075: 00: 0 To A bought a thousand Whate of Ladd 0014: 00: 0 To 7 gross of Cod Hucks 0010: 00: 0 To 1500 of Mackrell Hucks 0002: 00: 0 To 6 Swine Sold for 0002: 00: 0 To A Cow 0002: 10: 0 Carred Over to the other Side 1183: 02 Brought ovr here from the other side The foregoing is a true Account of What I had Seized tacking away Lost and Embezeld whilst I was a prisoner in the yeare 1692 & whilst on my flight for my life besides a Considerable quantity of household goods & other things which I Cannot Exactly give a pertickolar Acco off for all which I Never Reseved any other or further satisfacon for them Then Sixty Pounds 3s payd Me by the Administrators of George Corwine Late Sherife desesd and the Estate was so seisd & Tackin away Chiefly by the Sherife and his under offisers not withstanding I had given fore thousand pound Bond with Surety att Boston *philip English ( Mass. Archives Vol. 135 nos. 127-129. Massachusetts State Archives, Boston, MA )",838,4015
SWP No. 171.22,Laws Passed,"July 21, 1694",Jail Account,"( Jail Account: John Arnold & Caleb Ray ) [? July 21, 1694] John Arnold of Boston late keepr of ye Prison pet. vers Caleb Ray now Prison keeper of yr Majies Gaol} in an Action of ye CaseDefendtfor refusing to pay to ye pet. the Summ of four pounds seven shillings & six pence: wch he sd Ray recd in August last past 1693 from John Winslow of Boston for Mary Watkins & Susanna Davis for their prison fees due to ye petr when he was keeper of sd prison the non paymt whereof being to ye petr dammage five pounds money according to attachmt- dated June 18th 1694. The Parties appeared. The deft pleads he never estd any monney as fees belonging to ye pet. The Attachmt & Evidences In the Case produced were read & committed to ye Jury. The Jury returned their verdict thereon viz. They find for the pet Three pounds fifteen shillings money & costs of suit- Therefore it was considered by the Court That yt sd John Arnold should receave of the sd Caleb Ray The summ of Three pounds, fifteen shillings money & costs of suit mr John Arnold recd the full of this Judgimt & costs July 21. 1694 [In the right margin:] Arnold vers Ray Suffolk County Court of Common Pleas, Massachusetts Archives",223,1185
SWP No. 69.5,Abigail Hobbs,"September 10, 1692",Indictment,"(Indictment of Abigail Hobbs for Covenanting) [+ September 10, 1692] Essex in the Province of the Massachusetts Bay in New England Ss Anno RRs & Reginae Gulielmi & Mariae Angliae &c Quarto Annoq 3 Domini 1692 The Juriors for our Sov'r Lord and Lady the King and Queen doe present that Abagaile Hobbs of Topsfeild in the County aforesaid  Single Woeman In the yeare of our Lord 1688. In Cascoe Bay in the Province of Mayne in New England. Wickedly and Felloniously a Covenant with the Evill Spirritt the Devill did make Contrary to the peace of our Sov'r Lord and Lady the King & Queen theire Crowne and Dignity, and the forme of the Stattute In that case made and Provided. (Reverse) Indictmt agst Abigail Hobbs for Covenanting with the Devill bila uera Cogn ( Essex Institute Collection Collection, no. 23, Peabody Essex Museum, James Duncan Phillips Library, Rowley, MA. )",152,874
SWP No. 114.8,"Wilmott Reed Executed, September 22, 1692","September 14, 1692",Deposition,"( Deposition of Ann Putnam, Jr. v. Wilmott Redd ) [+ September 14, 1692] The deposition of Ann Putnam who testifieth and saith that I was for a considerable time afflectid by a woman that tould me hir name was Redd and that she came from marblehead but on the 31 May 1692 being the day of the Examination of wilmott Redd then I saw that she was the very same woman that tould me hir name was Redd and she did most greviously torment me dureing the time of hir Examination for if she did but look on me she would strick me down or almost choak me: also on the day of hir examination I saw willmott Redd or hir Apperance most greviously afflet and torment mary walcott Eliz: Hubburd Eliz: Booth and Abigail williams: and I very beleve that willmott Redd is a wicth and that she has often affletid me and the afforesaid persons by acts of wicthcraft An Putnum ownd the truth of the above written evidence: to the grand Inquest: Sept'r: 14: 1692 upon oath Jurat in Curia (Reverse) An Puttnam Evidence Against Willmott Redd ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, no. 13, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",215,1186
SWP No. 63.7,"Sarah Good Executed July 19, 1692","June 29, 1692",Summary,"(Summary of Evidence v. Sarah Good ) [++ June 29, 1692 ] Titabes Confession & Examinacon ag't. her selfe & Sarah Good abstracted Charges Sarah Good to hurt the Children & would have had her done it 5. were with her last night & would have.had her hurt the Children w'ch she refused & that Good was one of them Good with others are very strong & pull her with them to Mr. putnams & made her hurt the Child. Good [ther] rode with her upon Apoole behind her, takeing hold of one another doth not know how they goe for she never sees trees nor path but are presently th -- Good [ther] tell her she must kill some body with a knife & would have had her killed Tho: putnams Child last night the Child at the same time afirmed she would have had her cutt of her own head if not Titabe would doe it & complained of a knife cutting her Good came to her last night when her Mr. was at prayer & would not let her hear hath one yellow bird & stopped her Eares in prayer time, the yellow bird hath been seen by the Children & Titabee saw it suck Good between the forefinger & long finger upon the right hand Saw Good [ther] practice witchcraft. Saw Good have a Catt besides the bird & a thing all over hair [ther] Sarah Good appeared like a wolfe to Hubbard going to proctors & saw it sent by Good to Hubbard Good [ther] hurt the Children again & the Children affirme the same Hubbard knew th[em] not being blinded by them & was once or twice taken dumb herslefe i:e: Titabe Good caused her to pinch the Children all in their own persons Saw Goods name in the booke, & the devell told her they made these marks & said to her she made ther marke & it was the same day she went to prison Good [ther] came to ride abroad with her & the man shewed her Goods mark in the book Good [ther] pinched her on the leggs & being searched found it soe after confession Nota S. G. mumbled when she went away from Mr Parriss & the children after hurt. Dorothy Goods Charge ag't. her mother Sarah Good . That she had three birds one black, one yellow & that these birds hurt the Children & afflicted persons. her own Confession Nota None here sees the witches but the afflicted & themselves Charges Sarah Osburne with hurting the Children -- looking upon them at the same time & not being afflicted must consequently be a Witch Deliverance Hobs Confession being at a meeting of the witches in Mr: parisses feild when Mr. Burroughs preached & administred the sacram't to them saw Good amongst the rest & this fully agrees with what the afflicted persons relate. 22th. Apr (92) Abigaile Hobbs' Confession was in Company with Sarah Good & knowes her to be a witch & afterwards was taken deafe & Mary walcott [ther] saw Good & osburn run their fingers into this dep'oits ears a little after she spoke & s'd Good told her she sh'd not speake Mary Warren's Confession That Sarah Good is a Witch & brought her the booke to signe to. (Reverse) Elizabeth Hubbard Mary Walcott Ann puttnam Mercy Lewis Sarah Vibber Abigail Williams aflicted by S. Good & saw her shape. Richard Patch W'm Allen that she app'rd to him when abed W'm Good . that she hat h a strange Tett or wort John Hughes that he saw strange sights. Sam; Braybrooke that she said she would not confess unless proved ag't her & that ther was but One Evidence & that an Indian & ther for did not fear Evidences ag't. Sarah Good Extract of them No. 1 Ind't. Sarah Good Witnesses to the Indictm'ts No. 1 Sarah vibber Abigall Williams Eliz. Hubbard Ann Putman Eliz: Hubbard Ann Put man Mary Wolcott Abigaill Wi lliams Ann Putman El. Hubbard Abigall Williams Sarah Davis of Wenham widow of Jno. Davis Sarah vibber Abigall Williams Elizabeth Hubbard Ann Putman .. versas Good Marcy Lewis Ann Putman Sarah Bibber Mary Wolcott abigall Williams ( Essex County Court Archives, Salem -- Witchcraft Vol. 1 no. 13, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archive, MA. )",732,3916
SWP No. 94.17,"Rebecca Nurse Executed July 19, 1692","May 31, 1692",Testimony,"(Testimony of Abigail Williams v. Rebecca Nurse and Sarah Cloyse ) [May 31, 1692] the testimony of Abigail Williams witnesseth & saith That divers times in [in month] of March last past, particularly on the .15.16.19. 20.21.23.31. dayes of that m[onth and] in the month of April following at severall times, particularly on the.13. & I [torn] [of] that month, and also in this present month of May, the.4'th & 29. dayes, she [the] said Abigail has been exceedingly perplexed with the apparition of [Rebek a Nurse of] Salem Village, by which apparition she hath been pulled violently [and] often pinched & almost choked, & tempted sometimes to leap into the [fire and] sometimes to subscribe a book the said apparition brought, & als[o she saith] that she hath seen this apparition at a sacrament sitting next to [torn] [the man?] with an high crowned hat, at the upper end of the Table; & f[arther saith that] said apparition hath sometimes confessed to her the said Abigail its gu[i]lt in committing severall murders together with her Sister Cloyse as upon old Goodm: Harvood, Benja' Porter , & Rebek Shepard & faith Shepard's [torn] May 31'st 1692  attested before abegall Williams did owne this har testimony [on the] oath which she had taken: to be truth: before us [the] Juriars of Inqwest this 3. dy of June: 92 ( Essex County Court Archives, Salem -- Witchcraft Vol. 1, no. 73,  Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives. Boston, MA. )",251,1486
SWP No. 139.1,"Sarah Wilson, Sr.","October 19, 1692",Increase,"( Rev. Increase Mather's Report of the Recantations of Mary Osgood , Deliverance Dane , Abigail Barker , Mary Tyler , Sarah Wilson, Sr. , Mary Bridges Sr. , Mary Marston , Sarah Churchill Hannah Post , & Mary Post ) [October 19, 1692] Mrs. Osgood freely and relentingly said, that the confession which she made upon her examination for witchcraft, and afterwards acknowledged before the honourable judges, was wholly false, and that she was brought to the said confession by the violent urging and unreasonable pressings that were used toward her; she asserted that she never signed to the devill’s book, was never baptised by the devill, never afflicted any of the accusers, or gave her consent for their being afflicted. Being asked, why she prefixed a time and spake of her being baptised, &c.: about twelve years since; she replyed, and said, that when she had owned the thing, they asked the time; to which she answered, that she knew not the time; but being told that she did know the time and must tell the time, and the like; she considered that about twelve years before (when she had her last child) she had a fitt of sicknesse, and was melancholy; and so thought that that time might be as proper a time to mention as any, and accordingly did prefix the said time. Being asked about the cat, in the shape of which she had confessed the devill appeared to her, &c. she replyed, that being told that the devill had appeared to her, and must needs appear to her, &c. (she being a witch) she at length did own that the devill had appeared to her; and being press’d to say in what creature’s shape he appeared in, she at length did say, that it was in the shape of a cat; remembering that some time before her being apprehended, as she went out at her door, she saw a cat, &c.: not as though she any whitt suspected the said cat to be the devill in the day of *** but because some creature she must mention, and this came thus into her mind at that time. Deacon Fry’s wife said, that the confession she made she was frighted into, and that it was all of it false. Mrs. Dean and Goodwife Barker said freely, that they had wronged the truth in making their confession; that they in their lives time never covenanted with the devill, or had seen him; that they were press’d, and urg’d, and affrighted; that at last they did say even any thing that was desired of them; they said that they were sensible of their great evill in giving way at last to own what was false, and spake all with such weeping, relenting, and bleeding, as was enough to affect the hardest heart; particularly G. Barker bewail’d and lamented her accusing of others, whom she never knew any evill by in her life time; and said that she was told by her examiners that she did know of their being witches and must confesse it; that she did know of their being baptised, &c.: and must confesse it; by the renewed urgings and chargings of whom at last she gave way, and owned such things as were utterly false, which now she was in great horrour and anguish of soul for her complying with. Goodwife Tyler did say, that when she was first apprehended, she had no fears upon her, and did think that nothing could have made her confesse against herself; but since, she had found to her great grief, that she had wronged the truth, and falsely accused herself: she said, that when she was brought to Salem, her brother Bridges rode with her, and that all along the way from Andover to Salem, her brother kept telling her that she must needs be a witch, since the afflicted accused her, and at her touch were raised out of their fitts, and urging her to confess herself a witch; she as constantly told him, that she was no witch, that she knew nothing of witchcraft, and begg’d of him not to urge her to confesse; however when she came to Salem, she was carried to a room, where her brother on one side and Mr. John Emerson on the other side did tell her that she was certainly a witch, and that she saw the devill before her eyes at that time (and accordingly the said Emerson would attempt with his hand to beat him away from her eyes) and they so urged her to confesse, that she wished herself in any dungeon, rather than be so treated: Mr. Emerson told her once and again, Well! I see you will not confesse! Well! I will now leave you, and then you are undone, body and soul forever: Her brother urged her to confesse, and told her that in so doing she could not lye; to which she answered, Good brother, do not say so, for I shall lye if I confesse, and then who shall answer unto God for my lye? He still asserted it, and said that God would not suffer so many good men to be in such an errour about it, and that she would be hang’d, if she did not confesse, and continued so long and so violently to urge and presse her to confesse, that she thought verily her life would have gone from her, and became so terrifyed in her mind, that she own’d at length almost any thing that they propounded to her; but she had wronged her conscience in so doing, she was guilty of a great sin in belying of herself, and desired to mourn for it as long as she lived: This she said and a great deal more of the like nature, and all of it with such affection, sorrow, relenting, grief, and mourning, as that it exceeds any pen for to describe and expresse the same. Goodwife Wilson said, that she was in the dark as to some things in her confession; yet she asserted that knowingly she never had familiarity with the devill; that knowingly she never consented to the afflicting of any person, &c. However she said that truly she was in the dark as to the matter of her being a witch; and being ask’d how she was in the dark, she replyed that the afflicted persons crying out of her as afflicting them made her fearfull of herself, and that was all that made her say that she was in the dark. Goodwife Bridges said, that she had confessed against herself things which were all utterly false, and that she was brought to her confession by being told that she certainly was a witch, and so made to believe it, though she had no other grounds so to believe. Goodwife Marston said, that she had a burthen upon her conscience, and that she had been burthened ever since she had made her confession, for she had wronged the truth and belyed herself; she never was guilty of witchcraft, or having to do with the devill (as she knew of) in her life time. Sarah Churchill knew not whether it was in the day time or night time, that she stuck the thorns in the three poppets. Hannah Post said, that Margaret Jacobs was choking of S. Ch. and that she appeared as little as a child of two years old. Mary Post told the old story of her spirit’s riding upon the rail; but * **** ( Collections of the Massachusetts Historical Society, Boston, MA., 2nd ser., vol. 3. Boston: John Eliot, 1815, pp. 221–225. )",1286,6846
SWP No. 16.13,Mary Bradbury,"September 9, 1692",Deposition,"( Deposition of James Carr v. Mary Bradbury ) [September 9, 1692] The Deposistion of James carr. who testifieth and saith that about  20 years agoe one day as I was accidently att the house of mr wheleright and his daughter the widdow maverick then lived there: and she  then did most curtuously invite me to com oftener to the house and  wondered I was grown such a stranger and with in a few days affter  one evening I went thether againe: and when I came thether againe: william Bradbery was there who was then a suter to the said widdow but I did not know it tell affterwards; after I came in the widdow did so corsely treat the s'd william Bradbery that he went away semeing to be angury: presently after this I was taken affter a strange maner as if #[every] liveing creature did run about every  part of my body redy to tare me to peaces and so I continued for about 3 quarters of a year by times & I applyed myself to doctor crosbe who gave me a grate deal of visek but could make non work  tho he steept tobacco in [bofit] drink he could make non to work  where upon he tould me that he beleved I was behaged: and I tould  him I had thought so a good while: and he asked me by hom I tould  him I did not care for spaking for one was counted an honest wom-  an. but he uging I tould him and he said he did beleve that mis Bradbery was a grat deall worse then goody mertin: then presently affter this one night I being a bed and brod awake there came sumthing to me which I thought was a catt and went to strick it ofe the bed and was [seud] fast that I could not stir hedd nor foot but by and by  coming to my strength I hard sumting a coming to me againe and I prepared myself to strick it: and it coming upon the bed I did strick  at it and I beleve I hit it: and affter that visek would work on me and I beleve in my hart that mis Bradbery the prison'r att the bar has often afflected me by acts of wicthcraft                                            Jurat in Curia Septm 9: 92. (Reverse) James Carr Deposition ( Essex County Court Archives, Salem - Witchcraft, vol. 2, no. 79. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA  )",422,2191
SWP No. 12.1,Sarah Bibber,"June 29, 1692",Testimony,"( Testimony of John Porter and Lydia Porter Regarding Sarah Bibber) , in Support of Rebecca Nurse ) [++ June 29, 1692] The Testimony of John Porter : And Lidia Porter These The Testimony of John Porter , who Testifieth & sayth that Goodwife Biber Somtime living amongst us I did observe her to be a woman of An unruly turbulent Spirit; And shee would often fall into strange fitts; when shee was crost of her humor: Likewise Lidia Porter Testifieth, that Goodwife Bibber And her Husband would  often quarrel & in their quarrels shee would call him, very bad names, And would have strange fitts when she was crost, And a woman of an unruly turbulent spirit, And double tongued (Reverse) Jn'o Porters Evidence in behalfe of the p'rson'es in Invalidating Sarah vibber copy copied ( Essex County Court Archives, Salem - Witchcraft, Vol. 2, No. 119.  Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA )",160,945
SWP No. 173.57,Reversal of Attainder and Restitution (1710 - 1750),"January 3, 1712",Division of Money,"(Division of Money in Burroughs Restitution) [January 3, 1712] Forasmuch as it's made Manifest that the Children of Mr George Burroughs De[cbar ][ebar ][dbar ] by his former wives did in the time of his Imprisonment administer unto him Necessary things & were at considerable charge thereabout & for his Inteerment & that the widow had most or all of the personal Estate. In Consideration Whereof Wee the Subscribers a Comittee apointed by the Generall Court & Consent agree & order that the six pounds 6d money yet remainingg of the fifty pounds alowed by the Government shall by payd to the s'd Children in Equal Shares. January 3.d 1612 *John Appleton *Thomas Noyes *Stephen Sewall *Neh. Jewett (Reverse) Agreemt [= 6li] 6d the iij Burroughs G Borroughs ( Essex County Court Archives, Salem -- Witchcraft Vol. 2, 158. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA  )",151,921
SWP No. 69.7,Abigail Hobbs,"April 19, 1692",Deposition,"( Deposition of Priscilla Chub v. Abigail Hobbs ) [+ April 19, 1692] The deposistion of prisceller chub aged about 31: years, this deponent testifieth and saith that sum time the last winter I was a discoursing with Abigaill Hobbs about her wicked cariges and disobedience to hir father and Mother and she tould me she did not care what any body said to hir for she had seen the divell and had made a covenant or bargin with him. ( W. Elliot Woodward, Records of Salem Witchcraft, 2 vols. (Privately printed, Roxbury, MA: 1864) Vol. 1, pp. 177–78. )",100,549
SWP No. 92.6,"Susannah Martin Executed July 19, 1692","June 29, 1692",Indictment,"(Indictment No. 2 of Susannah Martin , for Afflicting Mercy Lewis: ) [+ June 29, 1692 ] Anno Regis et Reginae Willm et Mariae : nunc Angliae &c Quarto Essex ss The Jurors for our Sovereigne Lord & Lady the King and Queen: prsents That Susanah Martin of Amsbury in the County of Essex widdow the Second day of may in the forth Year of the Reigne of our Sovereigne Lord & Lady william and Mary by the Grace of God of England Scottland France & Ireland King and Queen Defenders of the faith &c: and divers other Dayes & times as well before as after. certaine Detestable Arts called witchcrafts and Sorceries wickedly: and felloniously hath used Practised & Exercised at and within the Towneship of Salem in the County of Essex aforesd: in and upon and ag't: one Marcy Lewis: of Salem Villiage Singlewoman by which said wicked arts the: Said Marcy Lewis. the said second day of may in the forth year aforesaid and at Divers other dayes and times as well before as after was and is Tortured: Afflicted Pined wasted and Torminted as also for Sundrey other acts of witchcraft by said Suzanah Martin Committed and done before and since that time ag't the Peace of our Sovereigne Lord. and Lady William & Mary King & Queen of England there Crowne and Dignity. and ag't the forme of the Statute in that case made and Provided. Witnesses Marcy Lewis Mr. Samll: Parris Sworn Anne Puttman Sworn Sarah Biber Sworne Elizabeth Hubbard Mary Wallcott Sworne in Court June 2d. 92. (Reverse) No. 2 In[d]ictm't [lost =against] S.Martin ( Essex County Court Archives, Salem -- Witchcraft Vol. 1 no. 172. Massachusetts Supreme Judicial Court, Judicial Archives, on deposit James Duncan Phillips Library, Peabody Essex Museum, Salem, MA.)",300,1715
SWP No. 64.2,Mary Green,"September 22, 1692",Judgment,"Judgment v. John Shepherd for Assisting Mary Green to Escape [September 22, 1692] John Shepard of Rowley bound over by Thomas Wade Esq for Assisting and helping to Convey Mary Green a Prisoner for the Crime of Witchcraft out of their Majtes Goal in Ipswitch: Confest the fact. The Courts Judgemt is That he pay a fine of 30li money and Costs of Court. Vpon his Confession and Petition the Court Respits 25li Till further Orders, that he stand Committed till the five pounds and Costs be paid/ ( Records of the Salem and Ipswich Court of General Sessions of the Peace (1692–1693), p. 8. Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA. )",117,686
SWP No. 16.3,Mary Bradbury,"September 9, 1692",Plea,"(Plea of Mary Bradbury ) [+ September 9, 1692] The Answer of Mary Bradbury in the charge of Witchcraft or  familliarity with the Divell I doe plead not guilty. I am wholly inocent of any such wickedness through the goodness of god that have kept mee hitherto) I am the servant of Jesus Christ & Have given my self up to him as my only lord & saviour: and to the dilligent attendance upon him in all his holy ordinances, in utter contempt & defiance of the divell, and all his works as horid & detestible; and accordingly have endevo'red to frame my life; & conversation according to the rules of his holy word, & in that faith  & practise resolve by the help and assistance of god to contineu to my lifes end: for the truth of what I say as to matter of practiss I humbly refer my self, #[my selfe,] to my brethren & neighbors that know mee and unto the searcher of all hearts for the truth & uprightness of my heart therein: (human frailties, & unavoydable infirmities excepted) of which i bitterly complayne every day:/ Mary Bradbury ( Essex County Court Archives, Salem - Witchcraft vol. 2, no. 72, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts Supreme Judicial Court, Judicial Archives, Massachusetts State Archives, Boston, MA  )",222,1259
